Tue Jul 19 2016 17:14:12 GMT+0800 (CST) - 22.579941,114.257382, 54.1; 电子监控=16, 
Tue Jul 19 2016 17:15:55 GMT+0800 (CST) - 22.591115,114.272672, 92.3; 电子监控=16, 
Tue Jul 19 2016 17:17:42 GMT+0800 (CST) - 22.590814,114.282572, 91.8; 测速照相=1, 80
Tue Jul 19 2016 17:18:18 GMT+0800 (CST) - 22.590747,114.284895, 91.8; 电子监控=16, 
Tue Jul 19 2016 17:19:51 GMT+0800 (CST) - 22.601988,114.296934, 39.3; 电子监控=16, 
Tue Jul 19 2016 17:21:04 GMT+0800 (CST) - 22.604706,114.308472, 114.8; 电子监控=16, 
Tue Jul 19 2016 17:23:11 GMT+0800 (CST) - 22.603417,114.333677, 94.4; 测速照相=1, 80
Tue Jul 19 2016 17:25:50 GMT+0800 (CST) - 22.614321,114.357055, 47.0; 电子监控=16, 
Tue Jul 19 2016 17:27:07 GMT+0800 (CST) - 22.614929,114.358516, 81.1; 测速照相=1, 60
Tue Jul 19 2016 17:28:50 GMT+0800 (CST) - 22.617970,114.368484, 63.4; 测速照相=1, 80
Tue Jul 19 2016 17:32:01 GMT+0800 (CST) - 22.615012,114.389981, 87.3; 电子监控=16, 
Tue Jul 19 2016 17:32:37 GMT+0800 (CST) - 22.615140,114.392979, 87.3; 电子监控=16, 
Tue Jul 19 2016 17:34:31 GMT+0800 (CST) - 22.620738,114.418502, 41.7; 测速照相=1, 60
Tue Jul 19 2016 17:38:11 GMT+0800 (CST) - 22.638080,114.481233, 86.3; 电子监控=16, 
Tue Jul 19 2016 17:40:12 GMT+0800 (CST) - 22.662370,114.495548, 74.1; 电子监控=16, 
Tue Jul 19 2016 17:40:45 GMT+0800 (CST) - 22.662711,114.496849, 74.1; 电子监控=16, 
Tue Jul 19 2016 17:42:37 GMT+0800 (CST) - 22.682803,114.505271, 343.2; 电子监控=16, 
Tue Jul 19 2016 17:43:20 GMT+0800 (CST) - 22.687759,114.504524, 15.5; 电子监控=16, 
Tue Jul 19 2016 17:47:21 GMT+0800 (CST) - 22.737833,114.504307, 353.7; 电子监控=16, 
Tue Jul 19 2016 17:54:37 GMT+0800 (CST) - 22.776487,114.631539, 44.9; 测速照相=1, 100
Tue Jul 19 2016 17:57:55 GMT+0800 (CST) - 22.808135,114.684659, 95.6; 测速照相=1, 100
Tue Jul 19 2016 17:58:59 GMT+0800 (CST) - 22.807268,114.690485, 99.2; 电子监控=16, 
